iloœc sprawdzanych dni: 27
iloœæ raportów NBP z tych dni (tylko dni pracuj¹ce): 19

Exchange rates: A, 001/A/NBP/2023, 2023-01-02
    currency:                            code:        value:
30  rupia indyjska                       INR      0.053425
31  won po³udniowokoreañski              KRW      0.003513
32  yuan renminbi (Chiny)                CNY      0.6407
33  SDR (MFW)                            XDR      5.8595
iloœæ walut: 33

Exchange rates: A, 014/A/NBP/2023, 2023-01-20
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1326
 2  dolar amerykañski                    USD      4.352
 3  dolar australijski                   AUD      3.0169
 4  dolar Hongkongu                      HKD      0.5556
 5  dolar kanadyjski                     CAD      3.2311
 6  dolar nowozelandzki                  NZD      2.7919
 7  dolar singapurski                    SGD      3.2908
 8  euro                                 EUR      4.7137
 9  forint (Wêgry)                       HUF      0.011907
10  frank szwajcarski                    CHF      4.7281
11  funt szterling                       GBP      5.3711
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033614
14  korona czeska                        CZK      0.1969
15  korona duñska                        DKK      0.6336
16  korona islandzka                     ISK      0.030509
17  korona norweska                      NOK      0.4401
18  korona szwedzka                      SEK      0.4221
19  lej rumuñski                         RON      0.9569
20  lew (Bu³garia)                       BGN      2.4101
21  lira turecka                         TRY      0.2315
22  nowy izraelski szekel                ILS      1.2764
23  peso chilijskie                      CLP      0.005283
24  peso filipiñskie                     PHP      0.0799
25  peso meksykañskie                    MXN      0.2293
26  rand (Republika Po³udniowej Afryki)  ZAR      0.2514
27  real (Brazylia)                      BRL      0.841
28  ringgit (Malezja)                    MYR      1.0155
29  rupia indonezyjska                   IDR      0.00028869
30  rupia indyjska                       INR      0.053646
31  won po³udniowokoreañski              KRW      0.003524
32  yuan renminbi (Chiny)                CNY      0.6416
33  SDR (MFW)                            XDR      5.8803
iloœæ walut: 33

Exchange rates: A, 015/A/NBP/2023, 2023-01-23
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1321
 2  dolar amerykañski                    USD      4.3242
 3  dolar australijski                   AUD      3.0305
 4  dolar Hongkongu                      HKD      0.5523
 5  dolar kanadyjski                     CAD      3.2389
 6  dolar nowozelandzki                  NZD      2.8081
 7  dolar singapurski                    SGD      3.2849
 8  euro                                 EUR      4.7186
 9  forint (Wêgry)                       HUF      0.011958
10  frank szwajcarski                    CHF      4.7118
11  funt szterling                       GBP      5.3648
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033307
14  korona czeska                        CZK      0.1974
15  korona duñska                        DKK      0.6342
16  korona islandzka                     ISK      0.030541
17  korona norweska                      NOK      0.4417
18  korona szwedzka                      SEK      0.4235
19  lej rumuñski                         RON      0.959
20  lew (Bu³garia)                       BGN      2.4126
21  lira turecka                         TRY      0.2299
22  nowy izraelski szekel                ILS      1.2804
23  peso chilijskie                      CLP      0.005304
24  peso filipiñskie                     PHP      0.0792
25  peso meksykañskie                    MXN      0.2297
26  rand (Republika Po³udniowej Afryki)  ZAR      0.252
27  real (Brazylia)                      BRL      0.8303
28  ringgit (Malezja)                    MYR      1.009
29  rupia indonezyjska                   IDR      0.00028685
30  rupia indyjska                       INR      0.053138
31  won po³udniowokoreañski              KRW      0.003523
32  yuan renminbi (Chiny)                CNY      0.6419
33  SDR (MFW)                            XDR      5.8763
iloœæ walut: 33

Exchange rates: A, 016/A/NBP/2023, 2023-01-24
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.132
 2  dolar amerykañski                    USD      4.3341
 3  dolar australijski                   AUD      3.0422
 4  dolar Hongkongu                      HKD      0.5534
 5  dolar kanadyjski                     CAD      3.2421
 6  dolar nowozelandzki                  NZD      2.8107
 7  dolar singapurski                    SGD      3.2832
 8  euro                                 EUR      4.7073
 9  forint (Wêgry)                       HUF      0.011863
10  frank szwajcarski                    CHF      4.7014
11  funt szterling                       GBP      5.3443
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033311
14  korona czeska                        CZK      0.1972
15  korona duñska                        DKK      0.6328
16  korona islandzka                     ISK      0.030389
17  korona norweska                      NOK      0.4405
18  korona szwedzka                      SEK      0.4244
19  lej rumuñski                         RON      0.9567
20  lew (Bu³garia)                       BGN      2.4068
21  lira turecka                         TRY      0.2305
22  nowy izraelski szekel                ILS      1.2862
23  peso chilijskie                      CLP      0.005329
24  peso filipiñskie                     PHP      0.0796
25  peso meksykañskie                    MXN      0.23
26  rand (Republika Po³udniowej Afryki)  ZAR      0.2509
27  real (Brazylia)                      BRL      0.8322
28  ringgit (Malezja)                    MYR      1.0113
29  rupia indonezyjska                   IDR      0.00029113
30  rupia indyjska                       INR      0.05305
31  won po³udniowokoreañski              KRW      0.003509
32  yuan renminbi (Chiny)                CNY      0.6404
33  SDR (MFW)                            XDR      5.8464
iloœæ walut: 33

Exchange rates: A, 017/A/NBP/2023, 2023-01-25
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1319
 2  dolar amerykañski                    USD      4.3265
 3  dolar australijski                   AUD      3.068
 4  dolar Hongkongu                      HKD      0.5523
 5  dolar kanadyjski                     CAD      3.2344
 6  dolar nowozelandzki                  NZD      2.8033
 7  dolar singapurski                    SGD      3.288
 8  euro                                 EUR      4.7079
 9  forint (Wêgry)                       HUF      0.012091
10  frank szwajcarski                    CHF      4.687
11  funt szterling                       GBP      5.3263
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.03332
14  korona czeska                        CZK      0.1975
15  korona duñska                        DKK      0.6329
16  korona islandzka                     ISK      0.029968
17  korona norweska                      NOK      0.4379
18  korona szwedzka                      SEK      0.4228
